paper_id,title,authors,year,category,abstract,citations,pages
arxiv_2014,Mixtral of Experts,Jiang et al.,2024,cs.LG,"We introduce Mixtral 8x7B, a sparse mixture of experts language model. Each token is routed to 2 of 8 expert feedforward networks, significantly reducing computation while maintaining model capacity. Mixtral outperforms Llama 2 70B and GPT-3.5 on most benchmarks.",341,16
arxiv_2015,HuggingFace Transformers: State-of-the-art NLP,Wolf et al.,2020,cs.CL,"We present HuggingFace Transformers, a library providing thousands of pretrained models to perform tasks on texts, images, and audio. The library enables researchers and practitioners to easily fine-tune and deploy state-of-the-art models with minimal code.",784,14
arxiv_2016,Sentence-BERT: Sentence Embeddings using Siamese Networks,Reimers et al.,2019,cs.CL,"We present Sentence-BERT (SBERT), a modification of the BERT network using siamese network structures to derive semantically meaningful sentence embeddings that can be compared using cosine-similarity. SBERT reduces the computation overhead from 65 hours to 5 seconds for finding similar sentences.",2,9
arxiv_2017,FAISS: A library for efficient similarity search,Johnson et al.,2021,cs.IR,"We present FAISS, a library for efficient similarity search and clustering of dense vectors. It contains algorithms that search in sets of vectors of any size, including ones that do not fit in RAM. FAISS is built around an index type that stores a set of vectors and provides a function to search in them.",1392,22
arxiv_2018,Agents: A Framework for Language Model-Based Agents,Zhou et al.,2023,cs.AI,"We introduce Agents, an open-source framework for building autonomous language agents. The framework supports long-short term memory, tool usage, web navigation, multi-agent communication, and human-agent interaction, enabling complex autonomous task completion.",989,15
arxiv_2019,Claude: Constitutional AI and AI Safety,Anthropic,2023,cs.AI,"We describe Claude, an AI assistant trained using Constitutional AI methods. Constitutional AI uses a set of principles to guide training through both supervised learning and reinforcement learning from AI feedback, producing an assistant that is helpful, harmless, and honest.",3504,22
arxiv_2020,Quantum Machine Learning,Biamonte et al.,2017,quant-ph,"Fuelled by increasing computer power and algorithmic advances, machine learning techniques have become powerful tools for finding patterns in data. Quantum computers offer tantalizing prospects for enhanced machine learning and we discuss developments in quantum machine learning algorithms.",68,15
arxiv_2021,Neural Scaling Laws,Kaplan et al.,2020,cs.LG,"We study empirical scaling laws for language model performance on the cross-entropy loss. The loss scales as a power-law with model size, dataset size, and the amount of compute used for training, with some trends spanning more than seven orders of magnitude.",14,11
arxiv_2022,LoRA: Low-Rank Adaptation of Large Language Models,Hu et al.,2021,cs.CL,"We propose LoRA, which freezes the pretrained model weights and injects trainable rank decomposition matrices into each layer of the Transformer architecture, greatly reducing the number of trainable parameters for downstream tasks while maintaining model quality.",225,17
arxiv_2023,Whisper: Robust Speech Recognition via Large-Scale Weak Supervision,Radford et al.,2022,cs.CL,"We study the capabilities of speech processing systems trained simply to predict large amounts of transcripts of audio on the internet. When scaled to 680,000 hours of multilingual and multitask supervision, the resulting models generalize well to standard benchmarks.",2,11
arxiv_2024,DALL-E 2: Hierarchical Text-Conditional Image Generation,Ramesh et al.,2022,cs.CV,"We present DALL-E 2, a new system that can create realistic images and art from a description in natural language. DALL-E 2 uses CLIP embeddings to enable text-conditional image generation with higher fidelity, diversity, and caption similarity than previous work.",229,23
arxiv_2025,Stable Diffusion: High-Resolution Image Synthesis with Latent Diffusion,Rombach et al.,2022,cs.CV,"We introduce latent diffusion models (LDMs), which apply diffusion models in the latent space of powerful pretrained autoencoders. By including cross-attention layers into the model architecture, diffusion models turn into powerful and flexible generators for general conditioning inputs.",865,22
arxiv_2026,PaLM: Scaling Language Modeling with Pathways,Chowdhery et al.,2022,cs.CL,"We introduce PaLM, a 540-billion parameter, densely activated, Transformer language model, trained using Pathways. PaLM achieves breakthrough performance, outperforming state-of-the-art few-shot results across hundreds of language understanding and generation benchmarks.",117,23
arxiv_2027,Reinforcement Learning from Human Feedback,Christiano et al.,2017,cs.LG,"We use reinforcement learning to allow humans to provide feedback that shapes the behavior of a system. Our approach allows humans to provide feedback on the outcomes of sequences of actions, enabling learning of complex behaviors from small amounts of human feedback.",81,20
arxiv_2028,FlashAttention: Fast Memory-Efficient Exact Attention,Dao et al.,2022,cs.LG,"We propose FlashAttention, an IO-aware exact attention algorithm that uses tiling to reduce the number of memory reads and writes between GPU high bandwidth memory and on-chip SRAM. FlashAttention trains Transformers 2-4x faster than baseline with 5-20x memory reduction.",697,20
arxiv_2029,GPT-4 Technical Report,OpenAI,2023,cs.AI,"We report the development of GPT-4, a large multimodal model which can accept image and text inputs and produce text outputs. GPT-4 exhibits human-level performance on various professional and academic benchmarks including passing a simulated bar exam with a score around the top 10% of test takers.",50,16
